FunctionalLoc,resources_id,id
1800-1811-B1H1-P210-R204 R204 REACTION POND P210,7,150
1800-1811-B1H1-P210-R203 R203 REACTION POND P210,7,151
1800-1811-B1H1-P210-R202 R202 REACTION POND P210,7,152
1800-1811-B1H1-P210-R201 R201 REACTION POND P210,7,153
1800-1811-B1H1-P110-R111 R111 REACTOR HINCO P110,7,154
1800-1811-B2L2-P210-R211-PR01 PR01 PRESSURE REGULATING VALVE REAKTOR R,6,155
1800-1811-B1H1-PLMR-PUMP POLYMER PUMP AREA (ST01/ST04),5,156
1800-1811-B2L2-P230-P233-PG01 PG01 PRESSURE GAUGE POMPA P233,6,157
1800-1811-B2L2-P230-P232-PG01 PG01 PRESSURE GAUGE POMPA P232,6,158
1800-1811-B2L2-P230-P231-PG01 PG01 PRESSURE GAUGE POMPA P231,6,159
1800-1811-B2L2-P220-P222-PG01 PG01 PRESSURE GAUGE POMPA P222,6,160
1800-1811-B2L2-P220-P221-PG01 PG01 PRESSURE GAUGE POMPA P221,6,161
1800-1811-B2L2-P250-P258 PANEL P42 NEW FILTER PRESS PACV,6,162
1800-1811-B2L2-P210 PACV PROCESS AREA REACTOR P210,6,163
1800-1811-B2L2-P230 PACV PROCESS AREA MIXING P230,6,164
1800-1811-B2L2-P250 PACS SCRUBBER AREA SCRUBBER B P250,6,165
1800-1811-B2L2-P240-P242 P422/P4211B SCRUBBER PUMP U420,6,166
1800-1811-B2L2-P240-P241 P421/P4211A SCRUBBER PUMP U420,6,167
1800-1811-B1H1-T370-P372 P372 WASTE WATER TRANSFER PUMP T370,7,168
1800-1811-B1H1-T370-P371 P371 WASTE WATER TRANSFER PUMP T370,7,169
1800-1811-C2T5-T350-P352 P3511B/P352 TRANSFER PUMP ST.01/T350,5,170
1800-1811-C2T5-T350-P351 P3511A/P351 TRANSFER PUMP ST.04 T350,5,171
1800-1811-B2L2-P250-P257 P257 PANEL MOTOR POMPA PN41 P250,6,172
"1800-1811-B2L2-P250-P256 P256 PANEL MOTOR POMPA 1,2 250",6,173
1800-1811-B2L2-P250-P254 P254 PANEL MOTOR SCRUBBER P250,6,174
1800-1811-B2L2-P250-P253 P253 POMPA TRANSFER LAD SCRUBBER P250,6,175
1800-1811-B2L2-P250-P252 P252 PANEL FILTER PRESS P250,6,176
1800-1811-B2L2-P250-P251 P251 PANEL MOTOR AGITATOR P250,6,177
1800-1811-B2L2-P230-P232 P2341B/P232 TRANSFER PUMP PACV P230,6,178
1800-1811-B2L2-P230-P231 P2341A/P231 TRANSFER PUMP PACV P230,6,179
1800-1811-B2L2-P230-P233 P2324/P234 TRANSFER PUMP NON FILTER P230,6,180
1800-1811-B1H1-P230-P231 P231 SCRUBBER PUMP P230,7,181
1800-1811-B2L2-P220-P227 P227 WASTE TRANSFER PUMP PACV P220,6,182
1800-1811-B2L2-P220-P226 P226 FILTER TRANSFER PUMP PACV P220,6,183
1800-1811-B2L2-P220-P225 P225 FILTER TRANSFER PUMP PACV P220,6,184
1800-1811-B2L2-P220-P224 P224 MECHSEAL COOLING PUMP P220,6,185
1800-1811-B1H1-P220-P223 P223 PRODUCT TRANSFER PUMP PAC200 P220,7,186
1800-1811-B2L2-P220-P223 P223 MECHSEAL COOLING PUMP P220,6,187
1800-1811-B2L2-P220-P222 P222 WATER SPRAYER PUMP P220,6,188
1800-1811-B1H1-P220-P222 P222 PRODUCT TRANSFER PUMP P220,7,189
1800-1811-B2L2-P220-P221 P221 WATER SPRAYER PUMP P220,6,190
1800-1811-B1H1-P220-P221 P221 PRODUCT TRANSFER PUMP P220,7,191
1800-1811-B1H1-P210-S211-P213 P213 POMPA SODA ASH P210,7,192
1800-1811-B1H1-P210-P212 P212 REACTION POND SLURRY PUMP P210,7,193
1800-1811-B2L2-P210-P212 P2111B/P212 REACTOR SLURRY PUMP P210,6,194
1800-1811-B2L2-P210-P211 P2111A/P211 REACTOR SLURRY PUMP P210,6,195
1800-1811-B1H1-P210-P211 P211 REACTION POND SLURRY PUMP P210,7,196
1800-1811-B1H1-P120-P121 P121 WASTE LIQUID PUMP P120,7,197
1800-1811-B1H1-P110-P113 P113 COOLING PUMP P110,7,198
